node,degree,strength,entropy,entropy_norm,kappa,C_ent,valence_centered,arousal_raw,dominance_raw,x,y,radius,embedding_engine,n_local,local_edges,mean_degree_local,eta_local_raw,node_index,log_degree_raw,feature_kappa,feature_entropy_norm,feature_c_ent,feature_valence,feature_poincare_x,feature_poincare_y,feature_log_degree,feature_eta_local
cake,4,0.5641599670171099,1.2692241610636428,0.9155517014714862,-0.37291675,-0.031492185030283136,0.645,5.33,5.88,0.6437688605881592,0.09979188963356277,0.6514574177178535,gensim_poincare,5,4,1.6,0.5120000000000001,59,1.3862943611198906,-0.37291676,0.9155517,-0.06298437,0.645,0.64376885,0.09979189,0.080952615,-0.8047767
calm,2,0.1515151515151515,0.6730116670092565,0.9709505944546688,-0.125,-0.0036311756931663997,0.4724999999999999,1.67,7.44,-0.448652826094071,-0.1415263103212518,0.4704455918332575,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,60,0.6931471805599453,-0.125,0.9709506,-0.0072623515,0.4725,-0.44865283,-0.14152631,-0.45952368,-0.72108763
camera,2,0.2323232323232326,0.5739644913933232,0.8280557253795034,-0.0833335,-0.01432871820908715,0.4025000000000001,3.05,6.39,-0.37962044387297983,-0.4647979760451667,0.6001240204674377,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,61,0.6931471805599453,-0.0833335,0.82805574,-0.028657436,0.4025,-0.37962043,-0.46479797,-0.45952368,-0.72108763
can,1,0.11,-0.0,0.0,0.5,0.5,0.3525,3.14,6.44,0.03447075402190068,0.11912151405452065,0.12400874160106513,gensim_poincare,2,1,1.0,0.5,62,0.0,0.5,0.0,1.0,0.3525,0.034470756,0.119121514,-1.0,-0.8172378
cancer,4,0.4337373737373736,1.2656927195761227,0.9130043049108688,-0.056249999999999994,-0.004893507848763629,-0.775,5.14,2.9,-0.5375558985250805,0.2073535255191824,0.5761612869538709,gensim_poincare,5,6,2.4,1.152,63,1.3862943611198906,-0.05625,0.9130043,-0.009787016,-0.775,-0.5375559,0.20735353,0.080952615,-0.14018692
candy,3,0.6052525252525256,0.7008601488883485,0.6379503998977004,0.14444466666666667,0.05229613380357663,0.5674999999999999,5.03,6.46,0.742897492501485,-0.12688678279833943,0.7536557171639494,gensim_poincare,4,5,2.5,1.5625,64,1.0986122886681098,0.14444466,0.6379504,0.10459227,0.5675,0.7428975,-0.12688679,-0.14336532,0.28608516
car,4,0.361111111111111,1.345025744159392,0.9702309854833713,-0.25,-0.007442253629157181,0.4075,4.04,6.41,0.1981612798861017,0.15134130702711499,0.24934330562253604,gensim_poincare,5,4,1.6,0.5120000000000001,65,1.3862943611198906,-0.25,0.970231,-0.014884507,0.4075,0.19816127,0.1513413,0.080952615,-0.8047767
card,2,0.22,0.6765259604934999,0.976020648236615,-0.1666665,-0.003996554630672197,0.125,2.67,5.06,-0.6559415761910972,-0.42382238820625745,0.7809511944551443,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,66,0.6931471805599453,-0.1666665,0.97602063,-0.0079931095,0.125,-0.6559416,-0.4238224,-0.45952368,-0.72108763
cards,2,0.222222222222222,0.6931471805599453,1.0,-0.3229165,-0.0,0.0,5.0,5.0,-0.6919378580193595,-0.33209953190268443,0.7675077188213818,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,67,0.6931471805599453,-0.3229165,1.0,-0.0,0.0,-0.69193786,-0.33209953,-0.45952368,-0.72108763
cat,5,1.1965656565656566,0.9327434727800237,0.5795461046206811,-0.428889,-0.1803280507353407,0.4875,4.5,5.48,-0.6406073820636571,0.38232108784941027,0.7460209327953263,gensim_poincare,6,6,2.0,0.6666666666666666,68,1.6094379124341003,-0.428889,0.5795461,-0.3606561,0.4875,-0.64060736,0.3823211,0.25494713,-0.64416754
