Responses,Types_R1,Tokens_R1,Hapax_R1,Types_R123,Tokens_R123,Hapax_R123
偷窃,16,20,13,29,43,21
欺诈,9,11,7,28,38,22
无题,1,1,1,1,1,1
小品文,1,1,1,1,1,1
编故事,3,3,3,3,5,2
文以载道,1,1,1,1,1,1
扣分,6,6,6,23,40,13
小学生作文,2,2,2,2,2,2
小作文,3,3,3,3,3,3
批改,1,1,1,5,8,4
语句,10,12,8,18,22,15
难写,2,2,2,4,6,3
凑字数,1,1,1,2,3,1
妈卖批,3,4,2,6,7,5
得分,9,9,9,19,26,15
音乐人,3,3,3,6,6,6
编曲,3,4,2,6,9,3
聂耳,3,4,2,6,10,4
朗朗,5,14,1,7,24,3
月永雷欧,2,2,2,4,4,4
堂本刚,6,7,5,11,15,9
作词,4,14,1,8,30,3
二宫和也,25,30,23,73,91,64
冼星海,2,2,2,4,5,3
作曲家,2,5,1,4,8,3
狂妄,10,29,7,23,62,15
方文山,2,2,2,6,11,3
堂本光一,6,9,5,16,20,15
