Responses,Types_R1,Tokens_R1,Hapax_R1,Types_R123,Tokens_R123,Hapax_R123
港乐,1,1,1,1,1,1
作词家,1,3,0,1,6,0
田汉,1,1,1,2,2,2
许嵩,7,8,6,12,16,11
李荣浩,4,5,3,8,14,5
钢琴家,5,5,5,6,7,5
小泽征尔,1,1,1,2,3,1
德彪西,2,2,2,4,4,4
有天赋,1,1,1,1,1,1
不切实际,9,9,9,41,52,35
不会死,1,1,1,1,1,1
不作死,1,1,1,1,1,1
歪国人,1,1,1,2,2,2
人作死,1,1,1,1,1,1
作妖,4,4,4,6,6,6
活该,8,11,6,32,51,26
犯贱,5,5,5,5,6,4
吐槽,20,24,16,44,62,36
找死,4,4,4,7,8,6
自寻死路,1,2,0,1,2,0
你才,1,1,1,2,2,2
舔铁门,1,1,1,1,1,1
自作孽,1,1,1,4,5,3
朴槿惠,3,3,3,8,9,7
为什么死,1,1,1,1,1,1
嘚瑟,7,8,6,17,24,13
不干好事,1,1,1,2,2,2
啊啊啊,4,4,4,11,11,11
摸电门,1,1,1,1,1,1
狗带,12,13,11,17,20,15
不作不死,1,1,1,1,3,0
没情商,1,1,1,2,2,2
自作孽不可活,1,1,1,1,1,1
手贱,1,1,1,1,1,1
手工,28,55,17,80,165,55
农,5,10,3,9,16,6
稻米,6,7,5,17,24,11
光合作用,5,5,5,18,33,12
用途,8,10,6,19,29,13
反作用,1,2,0,1,2,0
效果,20,34,15,57,100,40
相互作用,1,1,1,2,2,2
正反馈,2,2,2,2,2,2
力,39,57,28,80,128,57
光合,1,3,0,2,4,1
反作用力,1,1,1,1,1,1
负,6,6,6,14,22,12
带头作用,1,1,1,1,1,1
有用的,3,3,3,9,9,9
作用力,4,4,4,5,5,5
万有引力,4,8,1,10,26,6
什么的,1,1,1,2,2,2
发挥,6,8,5,17,22,14
用处,6,11,5,12,24,9
力学,12,18,10,25,40,20
画笔,16,23,11,31,96,17
写诗,3,3,3,7,9,6
水墨,4,19,1,13,38,9
莫奈,7,8,6,12,23,7
奇思妙想,7,10,6,15,21,13
画框,5,8,4,12,19,10
国画,9,15,7,28,45,23
书生,13,14,12,27,32,23
作诗,2,2,2,5,5,5
吟诗作画,1,1,1,1,1,1
吟诗,4,4,4,6,7,5
画布,4,5,3,9,14,5
娱乐节目,3,3,3,4,4,4
艺人,12,29,7,34,63,26
真人秀,5,7,4,7,12,3
演戏,9,13,7,26,43,18
哗众取宠,2,3,1,12,13,11
达人,11,11,11,22,24,20
秀场,1,1,1,5,5,5
弄虚作假,2,2,2,4,4,4
香独秀,1,1,1,1,1,1
天秀,1,1,1,1,1,1
中国好声音,4,4,4,5,5,5
中国明星,1,1,1,1,1,1
走秀,5,7,3,11,16,8
吴秀波,2,2,2,2,4,1
author,1,1,1,1,1,1
看文,1,1,1,2,2,2
创作,16,21,12,48,76,37
蝴蝶蓝,1,1,1,1,1,1
版税,2,2,2,2,2,2
老舍,12,36,7,27,64,20
日日日,1,1,1,1,1,1
匿名,4,4,4,15,21,11
提名,1,1,1,1,1,1
编号,4,6,3,9,12,8
皮卡丘,7,8,6,14,16,12
笔名,1,1,1,3,3,3
读者,6,7,5,11,15,7
我爱西红柿,1,1,1,1,1,1
写文,3,3,3,5,7,3
署名,2,2,2,2,4,1
伪证,2,4,1,5,10,3
法官,34,118,17,95,362,48
凶杀,13,19,10,34,45,29
给你,7,9,6,12,14,11
发誓,5,11,3,8,24,3
侦探,41,119,23,118,321,74
目击,4,7,3,8,13,5
出庭,1,1,1,1,3,0
配合,10,13,8,20,32,15
孤证不立,1,1,1,2,2,2
认证,7,8,6,14,15,13
庭审,1,1,1,4,5,3
林夕,4,5,3,7,14,5
作画,7,7,7,11,11,11
作句,1,1,1,1,1,1
制歌,1,1,1,1,1,1
宋词,10,38,8,17,72,6
陈升,1,1,1,1,1,1
写歌,2,2,2,4,4,4
陈信宏,4,5,3,9,10,8
赋曲,1,1,1,1,1,1
高晓松,7,8,6,14,15,13
做派,1,1,1,5,5,5
风格,21,26,19,67,95,55
工作作风,1,1,1,1,1,1
风景,82,165,60,232,502,141
廉洁,4,5,3,11,17,7
风骨,3,3,3,5,5,5
刮风,7,11,5,20,39,14
败坏,8,10,6,13,20,9
口碑,2,2,2,9,12,7
正派,4,8,3,5,14,3
骄奢,1,1,1,3,3,3
随和,3,3,3,14,14,14
第二人称,1,1,1,2,3,1
努力不够,1,1,1,1,1,1
爱我,3,3,3,9,10,8
在说啥,1,1,1,1,1,1
人称代词,1,1,1,3,3,3
你们好,1,1,1,2,2,2
排我,1,1,1,1,1,1
指责,9,22,5,30,52,23
你俩,1,1,1,1,1,1
我国,5,11,4,11,21,10
小粉红,6,15,3,17,36,13
桂枝,1,1,1,2,2,2
自干五,1,1,1,2,2,2
他国,2,4,1,3,6,2
复兴,6,6,6,16,17,15
萌二,1,1,1,2,2,2
减重,2,2,2,3,4,2
去你的,3,3,3,9,11,8
恨国大妈,1,1,1,1,1,1
贬低性形容词,1,1,1,1,1,1
要完,3,19,2,9,26,8
虽然但是,1,1,1,1,1,1
打招呼,14,41,6,31,98,16
初次见面,2,2,2,3,4,2
早上好,6,6,6,9,18,4
您好,7,9,5,16,22,11
你好呀,1,1,1,1,1,1
大家好,3,3,3,4,4,4
你也好,1,1,1,1,1,1
哈喽,3,4,2,6,10,3
hello,5,6,4,9,12,7
你好吗,2,2,2,3,6,2
之间,11,23,7,21,40,14
素不相识,2,2,2,2,2,2
一见如故,1,1,1,1,2,0
含情脉脉,3,3,3,5,7,3
相爱,23,30,20,44,59,34
缘分,9,9,9,35,55,27
同心,2,2,2,4,5,3
你和我,1,1,1,4,4,4
睫毛,5,12,3,19,36,14
